INFO:2022-05-07 19:17:42,328:Imports loaded
DEBUG:2022-05-07 19:17:42,995:Load dataset from /home/portugapt/Documents/AAA-Projeto/source/1_preprocessing/../artifacts/data/heart/heart_raw.csv
DEBUG:2022-05-07 19:17:43,058:Create copy of dataset
DEBUG:2022-05-07 19:17:43,144:FEATURE HeartDisease TO BOOL
DEBUG:2022-05-07 19:17:43,233:FEATURE Smoking TO BOOL
DEBUG:2022-05-07 19:17:43,300:FEATURE AlcoholDrinking TO BOOL
DEBUG:2022-05-07 19:17:43,351:FEATURE Stroke TO BOOL
DEBUG:2022-05-07 19:17:43,401:FEATURE DiffWalking TO BOOL
DEBUG:2022-05-07 19:17:43,435:FEATURE Diabetic TO BOOL
DEBUG:2022-05-07 19:17:43,475:FEATURE PhysicalActivity TO BOOL
DEBUG:2022-05-07 19:17:43,507:FEATURE Asthma TO BOOL
DEBUG:2022-05-07 19:17:43,535:FEATURE KidneyDisease TO BOOL
DEBUG:2022-05-07 19:17:43,562:FEATURE SkinCancer TO BOOL
DEBUG:2022-05-07 19:51:41,088:FEATURE GenHealth TO INTEGER
DEBUG:2022-05-07 19:51:44,075:FEATURE Sex TO INTEGER
DEBUG:2022-05-07 19:59:50,231:FEATURE HeartDisease UNIQUE VALUES
DEBUG:2022-05-07 19:59:50,249:FEATURE BMI UNIQUE VALUES
DEBUG:2022-05-07 19:59:50,255:FEATURE Smoking UNIQUE VALUES
DEBUG:2022-05-07 19:59:50,274:FEATURE AlcoholDrinking UNIQUE VALUES
DEBUG:2022-05-07 19:59:50,293:FEATURE Stroke UNIQUE VALUES
DEBUG:2022-05-07 19:59:50,310:FEATURE PhysicalHealth UNIQUE VALUES
DEBUG:2022-05-07 19:59:50,315:FEATURE MentalHealth UNIQUE VALUES
DEBUG:2022-05-07 19:59:50,319:FEATURE DiffWalking UNIQUE VALUES
DEBUG:2022-05-07 19:59:50,333:FEATURE Sex UNIQUE VALUES
DEBUG:2022-05-07 19:59:50,350:FEATURE AgeCategory UNIQUE VALUES
DEBUG:2022-05-07 19:59:50,364:FEATURE Race UNIQUE VALUES
DEBUG:2022-05-07 19:59:50,380:FEATURE Diabetic UNIQUE VALUES
DEBUG:2022-05-07 19:59:50,392:FEATURE PhysicalActivity UNIQUE VALUES
DEBUG:2022-05-07 19:59:50,408:FEATURE GenHealth UNIQUE VALUES
DEBUG:2022-05-07 19:59:50,426:FEATURE SleepTime UNIQUE VALUES
DEBUG:2022-05-07 19:59:50,429:FEATURE Asthma UNIQUE VALUES
DEBUG:2022-05-07 19:59:50,444:FEATURE KidneyDisease UNIQUE VALUES
DEBUG:2022-05-07 19:59:50,456:FEATURE SkinCancer UNIQUE VALUES
DEBUG:2022-05-07 19:59:59,105:FEATURE HeartDisease UNIQUE VALUES
DEBUG:2022-05-07 19:59:59,123:FEATURE BMI UNIQUE VALUES
DEBUG:2022-05-07 19:59:59,132:FEATURE Smoking UNIQUE VALUES
DEBUG:2022-05-07 19:59:59,152:FEATURE AlcoholDrinking UNIQUE VALUES
DEBUG:2022-05-07 19:59:59,169:FEATURE Stroke UNIQUE VALUES
DEBUG:2022-05-07 19:59:59,184:FEATURE PhysicalHealth UNIQUE VALUES
DEBUG:2022-05-07 19:59:59,188:FEATURE MentalHealth UNIQUE VALUES
DEBUG:2022-05-07 19:59:59,193:FEATURE DiffWalking UNIQUE VALUES
DEBUG:2022-05-07 19:59:59,206:FEATURE Sex UNIQUE VALUES
DEBUG:2022-05-07 19:59:59,222:FEATURE AgeCategory UNIQUE VALUES
DEBUG:2022-05-07 19:59:59,240:FEATURE Race UNIQUE VALUES
DEBUG:2022-05-07 19:59:59,256:FEATURE Diabetic UNIQUE VALUES
DEBUG:2022-05-07 19:59:59,271:FEATURE PhysicalActivity UNIQUE VALUES
DEBUG:2022-05-07 19:59:59,286:FEATURE GenHealth UNIQUE VALUES
DEBUG:2022-05-07 19:59:59,301:FEATURE SleepTime UNIQUE VALUES
DEBUG:2022-05-07 19:59:59,305:FEATURE Asthma UNIQUE VALUES
DEBUG:2022-05-07 19:59:59,320:FEATURE KidneyDisease UNIQUE VALUES
DEBUG:2022-05-07 19:59:59,340:FEATURE SkinCancer UNIQUE VALUES
DEBUG:2022-05-07 20:02:44,932:FEATURE HeartDisease UNIQUE VALUES
DEBUG:2022-05-07 20:02:44,949:FEATURE Smoking UNIQUE VALUES
DEBUG:2022-05-07 20:02:44,969:FEATURE AlcoholDrinking UNIQUE VALUES
DEBUG:2022-05-07 20:02:44,987:FEATURE Stroke UNIQUE VALUES
DEBUG:2022-05-07 20:02:45,008:FEATURE DiffWalking UNIQUE VALUES
DEBUG:2022-05-07 20:02:45,025:FEATURE Sex UNIQUE VALUES
DEBUG:2022-05-07 20:02:45,042:FEATURE AgeCategory UNIQUE VALUES
DEBUG:2022-05-07 20:02:45,059:FEATURE Race UNIQUE VALUES
DEBUG:2022-05-07 20:02:45,074:FEATURE Diabetic UNIQUE VALUES
DEBUG:2022-05-07 20:02:45,092:FEATURE PhysicalActivity UNIQUE VALUES
DEBUG:2022-05-07 20:02:45,106:FEATURE GenHealth UNIQUE VALUES
DEBUG:2022-05-07 20:02:45,123:FEATURE Asthma UNIQUE VALUES
DEBUG:2022-05-07 20:02:45,136:FEATURE KidneyDisease UNIQUE VALUES
DEBUG:2022-05-07 20:02:45,148:FEATURE SkinCancer UNIQUE VALUES
